id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,363564,0,2,1071,385,1055.25,235.546875,1.030318021774292,0.9917773008346558,0,0,1072,603
1,39838,581,231,189,356,619.75,292.078125,1.0234589576721191,0.963212788105011,0,0,1072,603
2,117663,0,463,1071,138,1021.75,480.515625,1.023247480392456,0.9635882377624512,0,0,1072,603
3,40341,463,198,307,390,586.25,254.390625,1.0211331844329834,0.9687538146972656,0,0,1072,603
4,68531,0,382,1071,105,16.75,423.984375,1.0038172006607056,0.964329183101654,0,0,1072,603
5,68535,0,282,1071,205,16.75,442.828125,1.0034297704696655,0.96378493309021,0,0,1072,603
6,31402,455,190,143,388,485.75,292.078125,1.0028958320617676,0.972003161907196,0,0,1072,603
7,31448,456,190,203,388,519.25,254.390625,0.9922962188720703,0.9743017554283142,0,0,1072,603
8,41493,0,389,601,98,251.25,442.828125,0.9861002564430237,0.9533371329307556,0,0,1072,603
9,187582,0,273,1071,327,686.75,499.359375,0.9805630445480347,0.9504772424697876,0,0,1072,603
10,187095,0,385,1071,216,351.75,499.359375,0.9783079028129578,0.9566820859909058,0,0,1072,603
11,1822,667,252,58,58,686.75,292.078125,0.9745674133300781,0.9863685965538025,0,0,1072,603
12,25556,713,384,358,85,854.25,461.671875,0.9714514017105103,0.9558424949645996,0,0,1072,603
13,3849,453,249,235,83,552.75,292.078125,0.9701780080795288,0.9753782749176025,0,0,1072,603
14,1100,453,249,52,34,485.75,273.234375,0.9610162377357483,0.980215847492218,0,0,1072,603
15,1009,695,424,47,35,720.25,442.828125,0.95906001329422,0.9804113507270813,0,0,1072,603
16,787,455,190,37,24,485.75,197.859375,0.9578306674957275,0.983668327331543,0,0,1072,603
17,2836,0,200,102,40,83.75,216.703125,0.9492225050926208,0.9537771940231323,0,0,1072,603
18,595,600,339,48,23,619.75,348.609375,0.9448672533035278,0.9783693552017212,0,0,1072,603
19,3649,177,195,85,54,251.25,216.703125,0.9445465803146362,0.9554362297058105,0,0,1072,603
20,1038,455,190,56,24,485.75,197.859375,0.9393779039382935,0.976122260093689,0,0,1072,603
21,280,515,565,25,13,519.25,574.734375,0.9338508248329163,0.9857142567634583,0,0,1072,603
22,422,948,509,45,13,988.25,518.203125,0.9321843981742859,0.9882628917694092,0,0,1072,603
23,440,512,33,23,19,519.25,47.109375,0.931734025478363,0.9707865118980408,0,0,1072,603
24,414,363,469,46,11,385.25,480.515625,0.9308059215545654,0.980861246585846,0,0,1072,603
25,152,885,493,24,7,887.75,499.359375,0.9289376735687256,0.9551281929016113,0,0,1072,603
26,385,268,534,46,11,284.75,537.046875,0.9213434457778931,0.9845758080482483,0,0,1072,603
27,318,409,573,49,9,452.25,574.734375,0.9201846718788147,0.9813084006309509,0,0,1072,603
28,140,507,228,13,13,519.25,235.546875,0.9170190691947937,0.9788732528686523,0,0,1072,603
29,228,837,479,39,7,854.25,480.515625,0.9161847233772278,0.9825327396392822,0,0,1072,603
30,60,913,496,11,5,921.25,499.359375,0.9108021259307861,0.9677419066429138,0,0,1072,603
31,223,994,518,32,10,1021.75,518.203125,0.8995141983032227,0.9515418410301208,0,0,1072,603
32,217,885,493,39,8,921.25,499.359375,0.898056149482727,0.9555555582046509,0,0,1072,603
33,1371,671,266,54,43,686.75,292.078125,0.8865796327590942,0.952924370765686,0,0,1072,603
34,835,635,453,29,118,653.25,555.890625,0.88652503490448,0.9504036903381348,0,0,1072,603
