id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,729076,0,711,1799,485,84.375,918.75,1.0395759344100952,0.981923520565033,0,0,1800,1200
1,23455,656,304,202,130,703.125,356.25,1.0051318407058716,0.9810930490493774,0,0,1800,1200
2,14009,500,677,130,133,590.625,693.75,0.9943147897720337,0.9873740673065186,0,0,1800,1200
3,13073,1460,606,125,130,1546.875,693.75,0.993536114692688,0.98111492395401,0,0,1800,1200
4,42237,445,626,230,223,534.375,806.25,0.9932737350463867,0.9791325330734253,0,0,1800,1200
5,40110,1394,559,233,215,1546.875,731.25,0.9927110075950623,0.9689133167266846,0,0,1800,1200
6,21465,424,320,198,121,478.125,431.25,0.9881173372268677,0.969610869884491,0,0,1800,1200
7,51432,219,0,176,301,365.625,56.25,0.9872673749923706,0.9848408699035645,0,0,1800,1200
8,44690,236,318,388,139,590.625,393.75,0.9830302596092224,0.9611618518829346,0,0,1800,1200
9,8783,4,0,207,42,28.125,18.75,0.9822589159011841,0.9827274680137634,0,0,1800,1200
10,112840,924,292,417,374,984.375,506.25,0.9795472621917725,0.9605066180229187,0,0,1800,1200
11,19726,238,332,192,122,365.625,356.25,0.9790798425674438,0.9607481956481934,0,0,1800,1200
12,19310,1728,72,71,304,1771.875,243.75,0.976030707359314,0.9667155742645264,0,0,1800,1200
13,627365,87,279,1624,566,646.875,431.25,0.9638108015060425,0.950016438961029,0,0,1800,1200
14,45097,232,318,602,139,365.625,356.25,0.9622398018836975,0.9559036493301392,0,0,1800,1200
15,3604,748,0,58,64,759.375,18.75,0.9587924480438232,0.9845687747001648,0,0,1800,1200
16,14384,1622,601,177,121,1771.875,618.75,0.9575252532958984,0.9767841100692749,0,0,1800,1200
17,946,683,0,33,30,703.125,18.75,0.9554623365402222,0.9863588809967041,0,0,1800,1200
18,905,916,0,34,28,928.125,18.75,0.954211950302124,0.985729992389679,0,0,1800,1200
19,6581,1238,688,162,62,1378.125,731.25,0.9520882368087769,0.9670904874801636,0,0,1800,1200
20,3321,1711,564,88,42,1771.875,581.25,0.9456958770751953,0.966627299785614,0,0,1800,1200
21,354583,127,282,817,566,871.875,431.25,0.9442482590675354,0.9571357369422913,0,0,1800,1200
22,3420,1711,564,88,66,1715.625,581.25,0.9416340589523315,0.9739959836006165,0,0,1800,1200
23,852,411,0,31,29,421.875,18.75,0.9414310455322266,0.9802555441856384,0,0,1800,1200
24,955,636,0,33,30,646.875,18.75,0.9401251077651978,0.9668737053871155,0,0,1800,1200
25,4183,27,89,35,147,28.125,93.75,0.9385324716567993,0.9659304618835449,0,0,1800,1200
26,25443,1725,0,74,559,1771.875,206.25,0.9380283355712891,0.9756390452384949,0,0,1800,1200
27,839,873,0,32,28,871.875,18.75,0.9359121322631836,0.9752941131591797,0,0,1800,1200
28,942,1009,0,34,28,1040.625,18.75,0.930808424949646,0.9699481725692749,0,0,1800,1200
29,2613,1244,378,48,67,1265.625,393.75,0.9279264211654663,0.9761453866958618,0,0,1800,1200
30,861,762,725,57,19,815.625,731.25,0.925024151802063,0.9770641922950745,0,0,1800,1200
31,315,1187,273,23,19,1209.375,281.25,0.9225265383720398,0.9504643678665161,0,0,1800,1200
32,1088,1724,761,75,17,1771.875,768.75,0.922297477722168,0.9719457030296326,0,0,1800,1200
33,7252,675,0,492,283,871.875,168.75,0.921074628829956,0.9517148733139038,0,0,1800,1200
34,29763,951,312,297,129,984.375,393.75,0.9183348417282104,0.9671589732170105,0,0,1800,1200
35,628862,86,17,1623,831,1603.125,468.75,0.9177811741828918,0.9556066989898682,0,0,1800,1200
36,4217,0,556,129,34,84.375,581.25,0.9177341461181641,0.9702256321907043,0,0,1800,1200
37,2267,980,469,90,34,1040.625,468.75,0.9116145372390747,0.9747606515884399,0,0,1800,1200
38,884,0,818,46,31,28.125,843.75,0.9091898202896118,0.9765886068344116,0,0,1800,1200
39,1435,164,561,37,41,196.875,581.25,0.9077085256576538,0.9799585342407227,0,0,1800,1200
40,3356,1726,0,73,47,1771.875,18.75,0.9044623374938965,0.9687955379486084,0,0,1800,1200
41,626,354,732,25,26,365.625,731.25,0.9008890390396118,0.9671361446380615,0,0,1800,1200
42,2835,1740,374,59,52,1771.875,393.75,0.9007643461227417,0.9759414196014404,0,0,1800,1200
43,13605,0,558,150,132,84.375,656.25,0.8992072343826294,0.9508349299430847,0,0,1800,1200
44,5194,1725,0,74,71,1771.875,56.25,0.8921595811843872,0.9819391369819641,0,0,1800,1200
45,1665,130,524,31,60,140.625,543.75,0.891222357749939,0.9553728699684143,0,0,1800,1200
46,927,726,725,93,24,815.625,731.25,0.882291853427887,0.9539749026298523,0,0,1800,1200
